Time Series Search Export,Search term,Search filters,,Last update of Bilateral exchange rates data,Downloaded at,Source,Source URL,Download URL,About Bilateral exchange rates
,,,,2024-07-11,2024-07-13 17:47 CEST,BIS,https:/data.bis.org/topics/XRU/data?filter=FREQ%3DQ%255ECOLLECTION%3DE%255EREF_AREA_TXT%3DEuro%2520area&selected_ts=BIS%2CWS_XRU%2C1.0%255EQ.XM.EUR.E,https:/data.bis.org/topics/XRU/data?filter=FREQ%3DQ%255ECOLLECTION%3DE%255EREF_AREA_TXT%3DEuro%2520area&selected_ts=BIS%2CWS_XRU%2C1.0%255EQ.XM.EUR.E&file_format=csv&format=long&split_frequencies=false&transposed=false&include=code%2Clabel,https://data.bis.org/topics/XRU

DATAFLOW_ID:Dataflow ID,KEY:Timeseries Key,FREQ:Frequency,REF_AREA:Reference area,CURRENCY:Currency,COLLECTION:Collection,Unit,Unit multiplier,TIME_PERIOD:Period,OBS_CONF:Confidentiality,OBS_PRE_BREAK:Pre-break value,OBS_STATUS:Status,OBS_VALUE:Value
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1974-06-30,F:Free,,A:Normal value,0.828947
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1974-09-30,F:Free,,A:Normal value,0.84563
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1974-12-31,F:Free,,A:Normal value,0.795323
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1975-03-31,F:Free,,A:Normal value,0.769586
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1975-06-30,F:Free,,A:Normal value,0.77861
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1975-09-30,F:Free,,A:Normal value,0.866168
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1975-12-31,F:Free,,A:Normal value,0.858163
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1976-03-31,F:Free,,A:Normal value,0.887918
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1976-06-30,F:Free,,A:Normal value,0.908166
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1976-09-30,F:Free,,A:Normal value,0.898731
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1976-12-31,F:Free,,A:Normal value,0.884964
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1977-03-31,F:Free,,A:Normal value,0.891234
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1977-06-30,F:Free,,A:Normal value,0.882052
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1977-09-30,F:Free,,A:Normal value,0.875021
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1977-12-31,F:Free,,A:Normal value,0.816287
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1978-03-31,F:Free,,A:Normal value,0.794098
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1978-06-30,F:Free,,A:Normal value,0.803781
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1978-09-30,F:Free,,A:Normal value,0.759919
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1978-12-31,F:Free,,A:Normal value,0.72628
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1979-03-31,F:Free,,A:Normal value,0.739798
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1979-06-30,F:Free,,A:Normal value,0.732885
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1979-09-30,F:Free,,A:Normal value,0.700427
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1979-12-31,F:Free,,A:Normal value,0.695222
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1980-03-31,F:Free,,A:Normal value,0.767519
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1980-06-30,F:Free,,A:Normal value,0.699252
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1980-09-30,F:Free,,A:Normal value,0.714316
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1980-12-31,F:Free,,A:Normal value,0.763574
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1981-03-31,F:Free,,A:Normal value,0.826679
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1981-06-30,F:Free,,A:Normal value,0.948317
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1981-09-30,F:Free,,A:Normal value,0.937383
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1981-12-31,F:Free,,A:Normal value,0.921515
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1982-03-31,F:Free,,A:Normal value,1.004838
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1982-06-30,F:Free,,A:Normal value,1.041859
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1982-09-30,F:Free,,A:Normal value,1.074585
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1982-12-31,F:Free,,A:Normal value,1.033413
"BIS,WS_XRU,1.0",Q.XM.EUR.E,Q:Quarterly,XM:Euro area,EUR:Euro,E:End of period,Euro,Units,1983-03-31,F:Free,,A:Normal value,1.082495
